date time , active window title , highlighted text , url
Mon Jan 02 22:29:28 2017,"Accenture-Asad-Ahmad-Cover-Letter - Word","the",C:\Users\Asad Ahmad\Desktop\final\Accenture-Asad-Ahmad-Cover-Letter.docx
Mon Jan 02 22:31:44 2017,"Accenture-Asad-Ahmad-Cover-Letter - Word","0.009 billion ",C:\Users\Asad Ahmad\Desktop\final\Accenture-Asad-Ahmad-Cover-Letter.docx
Mon Jan 02 22:32:25 2017,"assignment3(revised) - Word","expect demand not to correlate with price; this is compounded by network effects such as a lack of substitutability and local monopoly. As such, we would observe price inelasticity of demand.",C:\Users\Asad Ahmad\Desktop\assignment3(revised).docx
Mon Jan 02 22:36:37 2017,"Accenture-Asad-Ahmad-Cover-Letter - Word","research assistant, I was involved in systems interfacing between multiple Arduino Due ",C:\Users\Asad Ahmad\Desktop\assignment3(revised).docx
Mon Jan 02 22:36:50 2017,"Accenture-Asad-Ahmad-Cover-Letter - Word","My interest to study complex technological architectures has influenced me to apply for the role. In particular I have always been interested with ",C:\Users\Asad Ahmad\Desktop\assignment3(revised).docx
Mon Jan 02 22:37:17 2017,"Accenture-Asad-Ahmad-Cover-Letter - Word","ARM, United Kingdom. My interest to study complex technological architectures has influenced me to apply for the role. In particular I have always been interested with how new techniques are being explored to improve performance of procdessors while drastically reducing their power consumption. The advent of multiple cores not only allow users to run multi-threaded software applications but have the potential to run programs more efficiently than single core processors at relatively low power.What really makes ARM unique is the emphasis that it places on designing low power processors which makes it suitable for a variety of daily applications. As a result, the number of chips that contain ARM cores ",C:\Users\Asad Ahmad\Desktop\assignment3(revised).docx
Mon Jan 02 22:37:33 2017,"chrome - Word","	Fuudhfa	Sda",C:\Users\Asad Ahmad\Documents\chrome.docx
Mon Jan 02 22:37:48 2017,"mock_trial (Last saved by user) - Word","Imperial Mock Trial Society welcomes you to its first session for academic ",C:\Users\Asad Ahmad\Desktop\final\mock_trial.docx
Mon Jan 02 22:38:15 2017,"mock_trial (Last saved by user) - Word","/10/2016",C:\Users\Asad Ahmad\Desktop\final\mock_trial.docx
Mon Jan 02 22:39:08 2017,"text_app/registry.cpp at master � aa18514/text_app - Google Chrome","/10/2016","https://github.com/aa18514/text_app/blob/master/registry.cpp"
Mon Jan 02 22:39:32 2017,"Document2 (Autosaved) - Word","perceive the value of a given holiday to be acceptable or not, with that threshold being reached for a greater proportion of consumers as price decreases. This therefore leads to a reduction of demand as price increases; a negative correlation between price and demand. Consequently, holidays display price elasticity of demand.Bus fares exhibit negative income elasticity of demand and can be deemed as inferior goods; buses, whilst economical, are not usually convenient or fast, and can hardly be considered luxurious. Their economical nature means that demand generally correlates with lower incomes, whilst those on higher incomes tend to prefer more expeditious or luxurious modes ",C:\Users\Asad Ahmad\Desktop\final\mock_trial.docx
Mon Jan 02 22:40:24 2017,"Document2 (Autosaved) - Word","network effects such as a lack of substitutability and local monopoly. As such, we would observe price inelasticity of demand.Package Holidays provide a clear example of a product ",C:\Users\Asad Ahmad\Desktop\final\mock_trial.docx
Mon Jan 02 22:41:14 2017,"Document2 (Autosaved) - Word","ndividual consumers wish to maintain output / productivity, and that Oil is an essential, irreplaceable requirement for this, we can expect demand not to correlate with price; this is compounded by network effects such as a lack of substitutability and local monopoly. As such, we would observe price inelasticity of demand.Package Holidays provide a clear example of a product that will display price-elastic demand. As a luxury product, holidays are purchased with disposable income, and so willingness to pay is tied inextricably to the perceived value proposition of the holiday. As holidays aren't an essential expenditure, consumers will evaluate whether they perceive the value of a given holiday to be acceptable or not, with that threshold being reached for a greater proportion of consumers as price decreases. This therefore leads to a reduction of demand as price increases; a negative correlation between price and demand. Consequently, ",C:\Users\Asad Ahmad\Desktop\final\mock_trial.docx
Mon Jan 02 22:42:09 2017,"Oil and its consumer derivatives - Word","negative income elasticity of demand and can be deemed as inferior goods; buses, whilst economical, are not usually convenient or fast, and can hardly be considered luxurious. Their economical nature means that demand generally correlates with lower incomes, whilst those on higher incomes tend ",C:\Users\Asad Ahmad\Documents\Oil and its consumer derivatives.odt
Mon Jan 02 22:42:58 2017,"Accenture-Asad-Ahmad-Cover-Letter (Last saved by user) - Word","I am a final year student at Imperial College London, enrolled on the BEng Electronic & Information Engineering stream. I wish to apply for the position of a Graduate Software Engineer - Computer Vision at ARM, United Kingdom. My interest to study complex technological ",C:\Users\Asad Ahmad\Documents\Oil and its consumer derivatives.odt
Mon Jan 02 22:53:59 2017,"chrome (Last saved by user) - Word","	Dasdeadasdioajdisj",C:\Users\Asad Ahmad\Documents\chrome.docx
Mon Jan 02 22:54:09 2017,"Oil and its consumer derivatives - Word","such as a lack of substitutability and local monopoly. As such, we would observe price inelasticity of demand.Package Holidays provide a clear example of a product that will ",C:\Users\Asad Ahmad\Documents\Oil and its consumer derivatives.odt
Mon Jan 02 23:03:18 2017,"Accenture-Asad-Ahmad-Cover-Letter (Last saved by user) - Word","programs more efficiently than single core processors at relatively low power.What really makes ARM unique is the emphasis that it places on designing low power processors which makes it suitable for a variety ",path not found
Mon Jan 02 23:03:23 2017,"Accenture-Asad-Ahmad-Cover-Letter (Last saved by user) - Word","makes it suitable for a variety of daily applications. As a result, the number of chips that contain ARM cores has grown exponentially from 0.009 billion units in 1997 to 15 billion units in 2015 with dominance in the smart phone industry. I have been fascinated by how something so abstract as code is mapped and synthesized on to external devices such as Field Programmable Gate Array through a combination of logic elements.  Having worked at the Blackett Laboratory as a research assistant, I was involved in systems interfacing between multiple Arduino Due Boards, which made me realize the importance of developing low level ",path not found
Mon Jan 02 23:04:57 2017,"chrome (Last saved by user) - Word","	Dasdeadasdioajdisj",path not found
Mon Jan 02 23:06:09 2017,"chrome (Last saved by user) - Word","	Fuudhfa",path not found
Mon Jan 02 23:07:45 2017,"chrome (Last saved by user) - Word","eadasdioajdisj",path not found
Mon Jan 02 23:08:50 2017,"chrome (Last saved by user) - Word","	Fuudhfa	Sda",C:\Users\Asad Ahmad\Documents\chrome.docx
Mon Jan 02 23:09:04 2017,"Oil and its consumer derivatives - Word","of the holiday. As holidays aren't an essential expenditure, consumers will evaluate whether they perceive the value of a given holiday to be acceptable or not, with that threshold being reached for a greater proportion of consumers as price decreases. This therefore leads to a reduction of demand as ",C:\Users\Asad Ahmad\Documents\Oil and its consumer derivatives.odt
Tue Jan 03 00:23:03 2017,"CV_Asad_Ahmadupdated - Word","o	Relevant first and second year modules include: Algorithms & Data Structures, Signal Processing, Computer Architecture, Language Processors, Computer Networks & ",C:\Users\Asad Ahmad\Desktop\CV_Asad_Ahmadupdated.docx
Tue Jan 03 00:27:02 2017,"CV_Asad_Ahmadupdated - Word","levels - Karachi, Pakistan							           o	2 A*'s in Chemistry",path not found
Tue Jan 03 00:27:38 2017,"aa18514/text_app - Google Chrome","levels - Karachi, Pakistan							           o	2 A*'s in Chemistry","https://github.com/aa18514/text_app"
Tue Jan 03 00:27:50 2017,"Commits � aa18514/text_app - Google Chrome","https://github.com/aa18514/text_app","https://github.com/aa18514/text_app/commits/master"
Tue Jan 03 00:28:32 2017,"text_app/main_prog.cpp at 322b54552a9571dcd3a8fb0bfd85135d1910453c � aa18514/text_app - Google Chrome"," printf( \nNumber of subkeys: %d\n, cSubKeys);","https://github.com/aa18514/text_app/blob/322b54552a9571dcd3a8fb0bfd85135d1910453c/main_prog.cpp"
Tue Jan 03 00:28:59 2017,"CV_Asad_Ahmadupdated - Word","o	Relevant first and second year modules include: Algorithms & Data Structures, Signal Processing, Computer Architecture, Language Processors, Computer Networks & Distributed Systems. o	Third ",path not found
Tue Jan 03 00:31:17 2017,"CV_Asad_Ahmadupdated - Word","Electronic and Information Engineering 	            	            o	Predicted First Class Honours.    o	Relevant first and ",C:\Users\Asad Ahmad\Desktop\
Tue Jan 03 00:32:29 2017,"text_app/main_prog.cpp at 322b54552a9571dcd3a8fb0bfd85135d1910453c � aa18514/text_app - Google Chrome"," _tprintf(TEXT((%d) %s\n), i+1, achKey);","https://github.com/aa18514/text_app/blob/322b54552a9571dcd3a8fb0bfd85135d1910453c/main_prog.cpp"
